         nH         pok         xH2        xHII          xe      chi_pe      chi_lw      chi_h2      chi_ci       xi_cr     nLambda       Gamma 
8.91251e+01 4.96141e+03 6.42085e-02 5.47372e-05 7.09308e-05 8.61529e-01 7.42233e-01 6.45039e-05 7.22535e-01 1.25465e-17 4.59087e-27 4.59078e-27 
1.00000e+02 5.23699e+03 8.24417e-02 4.56415e-05 6.18706e-05 8.57029e-01 7.34498e-01 5.31866e-05 7.08761e-01 1.21205e-17 4.57622e-27 4.57590e-27 
1.12202e+02 5.52247e+03 1.04457e-01 3.75831e-05 5.38506e-05 8.52395e-01 7.26576e-01 4.39619e-05 6.93440e-01 1.17090e-17 4.55315e-27 4.55304e-27 
1.25893e+02 5.81790e+03 1.29991e-01 3.05070e-05 4.68136e-05 8.47624e-01 7.18466e-01 3.65477e-05 6.76629e-01 1.13115e-17 4.52353e-27 4.52337e-27 
1.41254e+02 6.12703e+03 1.58265e-01 2.43802e-05 4.07237e-05 8.42714e-01 7.10167e-01 3.06615e-05 6.58565e-01 1.09275e-17 4.49069e-27 4.49045e-27 
1.58489e+02 6.44731e+03 1.88657e-01 1.91408e-05 3.55171e-05 8.37661e-01 7.01676e-01 2.59679e-05 6.39452e-01 1.05565e-17 4.45732e-27 4.45723e-27 
1.77828e+02 6.79289e+03 2.19554e-01 1.47686e-05 3.11705e-05 8.32463e-01 6.92994e-01 2.22727e-05 6.19816e-01 1.01981e-17 4.43165e-27 4.43149e-27 
1.99526e+02 7.16897e+03 2.50032e-01 1.11890e-05 2.76082e-05 8.27116e-01 6.84120e-01 1.93359e-05 5.99974e-01 9.85192e-18 4.41869e-27 4.41860e-27 
2.23872e+02 7.60066e+03 2.78363e-01 8.34505e-06 2.47714e-05 8.21617e-01 6.75054e-01 1.70242e-05 5.80491e-01 9.51746e-18 4.43050e-27 4.43051e-27 
2.51189e+02 8.05555e+03 3.06287e-01 6.08547e-06 2.25129e-05 8.15963e-01 6.65796e-01 1.50819e-05 5.60859e-01 9.19435e-18 4.45340e-27 4.45337e-27 
2.81838e+02 8.58140e+03 3.31155e-01 4.37375e-06 2.07927e-05 8.10152e-01 6.56347e-01 1.35183e-05 5.41919e-01 8.88221e-18 4.50675e-27 4.50668e-27 
3.16228e+02 9.17544e+03 3.53529e-01 3.09727e-06 1.95002e-05 8.04180e-01 6.46706e-01 1.22183e-05 5.23519e-01 8.58067e-18 4.58480e-27 4.58471e-27 
3.54813e+02 9.84230e+03 3.73433e-01 2.16596e-06 1.85461e-05 7.98045e-01 6.36876e-01 1.11216e-05 5.05670e-01 8.28936e-18 4.68464e-27 4.68462e-27 
3.98107e+02 1.05869e+04 3.90969e-01 1.49990e-06 1.78510e-05 7.91743e-01 6.26857e-01 1.01839e-05 4.88358e-01 8.00794e-18 4.80229e-27 4.80217e-27 
